cell_id,Landmass,Area_km2
X1,Tierra del Fuego,47370
X2,South America,17609548
X3,South America,17609548
X4,South America,17609548
X5,South America,17609548
X6,South America,17609548
X7,South America,17609548
X8,South America,17609548
X9,South America,17609548
X10,South America,17609548
X11,South America,17609548
X12,South Island,150644
X13,South America,17609548
X14,South America,17609548
X15,South America,17609548
X16,South America,17609548
X17,South Island,150644
X18,South Island,150644
X19,South America,17609548
X20,South America,17609548
X21,South America,17609548
X22,South America,17609548
X23,South America,17609548
X24,Tasmania,64288
X25,South Island,150644
X26,South America,17609548
X27,South America,17609548
X28,South America,17609548
X29,South America,17609548
X30,South America,17609548
X31,South America,17609548
X32,North Island,114400
X33,South America,17609548
X34,South America,17609548
X35,South America,17609548
X36,South America,17609548
X37,South America,17609548
X38,South America,17609548
X39,South America,17609548
X40,South America,17609548
X41,Australia,7618696
X42,Australia,7618696
X43,Australia,7618696
X44,North Island,114400
X45,North Island,114400
X46,South America,17609548
X47,South America,17609548
X48,South America,17609548
X49,South America,17609548
X50,South America,17609548
X51,South America,17609548
X52,South America,17609548
X53,Australia,7618696
X54,Australia,7618696
X55,Australia,7618696
X56,Australia,7618696
X57,Australia,7618696
X58,South America,17609548
X59,South America,17609548
X60,South America,17609548
X61,South America,17609548
X62,South America,17609548
X63,South America,17609548
X64,South America,17609548
X65,South America,17609548
X66,South America,17609548
X67,Africa,29370907
X68,Australia,7618696
X69,Australia,7618696
X70,Australia,7618696
X71,Australia,7618696
X72,Australia,7618696
X73,Australia,7618696
X74,Australia,7618696
X75,Australia,7618696
X76,South America,17609548
X77,South America,17609548
X78,South America,17609548
X79,South America,17609548
X80,South America,17609548
X81,South America,17609548
X82,South America,17609548
X83,South America,17609548
X84,South America,17609548
X85,South America,17609548
X86,Africa,29370907
X87,Africa,29370907
X88,Africa,29370907
X89,Africa,29370907
X90,Africa,29370907
X91,Australia,7618696
X92,Australia,7618696
X93,Australia,7618696
X94,Australia,7618696
X95,Australia,7618696
X96,Australia,7618696
X97,Australia,7618696
X98,Australia,7618696
X99,Australia,7618696
X100,Australia,7618696
X101,Australia,7618696
X102,Australia,7618696
X103,Australia,7618696
X104,Australia,7618696
X105,South America,17609548
X106,South America,17609548
X107,South America,17609548
X108,South America,17609548
X109,South America,17609548
X110,South America,17609548
X111,South America,17609548
X112,South America,17609548
X113,South America,17609548
X114,South America,17609548
X115,Africa,29370907
X116,Africa,29370907
X117,Africa,29370907
X118,Africa,29370907
X119,Africa,29370907
X120,Africa,29370907
X121,Australia,7618696
X122,Australia,7618696
X123,Australia,7618696
X124,Australia,7618696
X125,Australia,7618696
X126,Australia,7618696
X127,Australia,7618696
X128,Australia,7618696
X129,Australia,7618696
X130,Australia,7618696
X131,Australia,7618696
X132,Australia,7618696
X133,Australia,7618696
X134,Australia,7618696
X135,Australia,7618696
X136,Australia,7618696
X137,Australia,7618696
X138,Australia,7618696
X139,Australia,7618696
X140,South America,17609548
X141,South America,17609548
X142,South America,17609548
X143,South America,17609548
X144,South America,17609548
X145,South America,17609548
X146,South America,17609548
X147,South America,17609548
X148,South America,17609548
X149,South America,17609548
X150,South America,17609548
X151,Africa,29370907
X152,Africa,29370907
X153,Africa,29370907
X154,Africa,29370907
X155,Africa,29370907
X156,Africa,29370907
X157,Africa,29370907
X158,Africa,29370907
X159,Australia,7618696
X160,Australia,7618696
X161,Australia,7618696
X162,Australia,7618696
X163,Australia,7618696
X164,Australia,7618696
X165,Australia,7618696
X166,Australia,7618696
X167,Australia,7618696
X168,Australia,7618696
X169,Australia,7618696
X170,Australia,7618696
X171,Australia,7618696
X172,Australia,7618696
X173,Australia,7618696
X174,Australia,7618696
X175,Australia,7618696
X176,Australia,7618696
X177,Australia,7618696
X178,Australia,7618696
X179,South America,17609548
X180,South America,17609548
X181,South America,17609548
X182,South America,17609548
X183,South America,17609548
X184,South America,17609548
X185,South America,17609548
X186,South America,17609548
X187,South America,17609548
X188,South America,17609548
X189,South America,17609548
X190,Africa,29370907
X191,Africa,29370907
X192,Africa,29370907
X193,Africa,29370907
X194,Africa,29370907
X195,Africa,29370907
X196,Africa,29370907
X197,Africa,29370907
X198,Australia,7618696
X199,Australia,7618696
X200,Australia,7618696
X201,Australia,7618696
X202,Australia,7618696
X203,Australia,7618696
X204,Australia,7618696
X205,Australia,7618696
X206,Australia,7618696
X207,Australia,7618696
X208,Australia,7618696
X209,Australia,7618696
X210,Australia,7618696
X211,Australia,7618696
X212,Australia,7618696
X213,Australia,7618696
X214,Australia,7618696
X215,Australia,7618696
X216,Australia,7618696
X217,Australia,7618696
X218,South America,17609548
X219,South America,17609548
X220,South America,17609548
X221,South America,17609548
X222,South America,17609548
X223,South America,17609548
X224,South America,17609548
X225,South America,17609548
X226,South America,17609548
X227,South America,17609548
X228,South America,17609548
X229,Africa,29370907
X230,Africa,29370907
X231,Africa,29370907
X232,Africa,29370907
X233,Africa,29370907
X234,Africa,29370907
X235,Africa,29370907
X236,Africa,29370907
X237,Africa,29370907
X238,Africa,29370907
X239,Australia,7618696
X240,Australia,7618696
X241,Australia,7618696
X242,Australia,7618696
X243,Australia,7618696
X244,Australia,7618696
X245,Australia,7618696
X246,Australia,7618696
X247,Australia,7618696
X248,Australia,7618696
X249,Australia,7618696
X250,Australia,7618696
X251,Australia,7618696
X252,Australia,7618696
X253,Australia,7618696
X254,Australia,7618696
X255,Australia,7618696
X256,Australia,7618696
X257,Australia,7618696
X258,South America,17609548
X259,South America,17609548
X260,South America,17609548
X261,South America,17609548
X262,South America,17609548
X263,South America,17609548
X264,South America,17609548
X265,South America,17609548
X266,South America,17609548
X267,South America,17609548
X268,South America,17609548
X269,South America,17609548
X270,Africa,29370907
X271,Africa,29370907
X272,Africa,29370907
X273,Africa,29370907
X274,Africa,29370907
X275,Africa,29370907
X276,Africa,29370907
X277,Africa,29370907
X278,Africa,29370907
X279,Africa,29370907
X280,Africa,29370907
X281,Madagascar,589438
X282,Madagascar,589438
X283,Australia,7618696
X284,Australia,7618696
X285,Australia,7618696
X286,Australia,7618696
X287,Australia,7618696
