"","cell_id","elev_mean","elev_range"
"1","X1",136.308319091797,1237
"2","X2",599.814025878906,3049
"3","X3",382.716796875,1350
"4","X4",92.7722091674805,577
"5","X5",911.179260253906,3420
"6","X6",666.10693359375,2136
"7","X7",396.09130859375,1211
"8","X8",73.028923034668,366
"9","X9",747.742736816406,3797
"10","X10",771.512939453125,2442
"11","X11",460.391937255859,1233
"12","X12",255.966644287109,1892
"13","X13",408.05029296875,2256
"14","X14",914.135314941406,1799
"15","X15",648.583435058594,1576
"16","X16",288.584014892578,856
"17","X17",580.707275390625,2359
"18","X18",559.408447265625,3089
"19","X19",314.834075927734,2509
"20","X20",1029.51916503906,3146
"21","X21",1086.21459960938,1552
"22","X22",708.815002441406,1476
"23","X23",106.345436096191,606
"24","X24",446.612640380859,1514
"25","X25",611.489929199219,2677
"26","X26",264.522583007812,2310
"27","X27",1091.72387695312,3467
"28","X28",855.768981933594,1231
"29","X29",390.067291259766,912
"30","X30",117.925964355469,453
"31","X31",33.0636940002441,137
"32","X32",237.978454589844,2625
"33","X33",208.10188293457,1439
"34","X34",1303.20336914062,3015
"35","X35",685.141479492188,2553
"36","X36",313.55712890625,480
"37","X37",216.759643554688,475
"38","X38",148.666488647461,1017
"39","X39",166.6123046875,1025
"40","X40",95.558952331543,481
"41","X41",167.22639465332,1113
"42","X42",166.532745361328,1461
"43","X43",256.955139160156,1730
"44","X44",164.546279907227,1691
"45","X45",297.257446289062,1388
"46","X46",1519.59240722656,4587
"47","X47",1460.47583007812,3365
"48","X48",407.669403076172,623
"49","X49",270.439117431641,305
"50","X50",116.521987915039,110
"51","X51",106.911315917969,248
"52","X52",56.7220840454102,337
"53","X53",99.2939529418945,326
"54","X54",144.034576416016,862
"55","X55",164.560821533203,915
"56","X56",499.645111083984,1766
"57","X57",845.964477539062,2144
"58","X58",1114.54541015625,4991
"59","X59",1740.31848144531,5443
"60","X60",474.501831054688,492
"61","X61",333.432006835938,651
"62","X62",127.702255249023,207
"63","X63",78.0714340209961,106
"64","X64",24.2778263092041,89
"65","X65",50.2147483825684,195
"66","X66",78.7949981689453,453
"67","X67",183.162704467773,1509
"68","X68",182.982284545898,651
"69","X69",116.672973632812,923
"70","X70",148.021255493164,709
"71","X71",60.0604972839355,124
"72","X72",67.6462860107422,107
"73","X73",96.0969848632812,296
"74","X74",225.06364440918,577
"75","X75",624.89013671875,1135
"76","X76",1314.05993652344,6678
"77","X77",1920.04016113281,5929
"78","X78",593.930480957031,1853
"79","X79",759.283508300781,2393
"80","X80",173.747299194336,305
"81","X81",58.1022720336914,134
"82","X82",36.1520233154297,104
"83","X83",98.3523025512695,325
"84","X84",135.157943725586,343
"85","X85",38.2565994262695,438
"86","X86",425.502960205078,2146
"87","X87",1039.1005859375,1839
"88","X88",993.196533203125,1796
"89","X89",890.622924804688,2241
"90","X90",765.513854980469,2260
"91","X91",295.029174804688,524
"92","X92",349.560485839844,241
"93","X93",305.86083984375,374
"94","X94",230.265106201172,523
"95","X95",72.8519973754883,174
"96","X96",109.078475952148,431
"97","X97",142.026275634766,816
"98","X98",337.505828857422,886
"99","X99",151.997039794922,516
"100","X100",81.8220977783203,300
"101","X101",139.320831298828,339
"102","X102",237.003173828125,354
"103","X103",501.810882568359,1107
"104","X104",359.038665771484,1563
"105","X105",1573.205078125,5640
"106","X106",2073.45678710938,5558
"107","X107",786.287963867188,2860
"108","X108",582.098571777344,2150
"109","X109",153.679840087891,738
"110","X110",59.4841537475586,110
"111","X111",54.9855422973633,99
"112","X112",125.974548339844,407
"113","X113",177.305572509766,386
"114","X114",191.576263427734,558
"115","X115",698.154724121094,1653
"116","X116",1063.86437988281,649
"117","X117",1233.77124023438,973
"118","X118",1399.73583984375,1111
"119","X119",1617.64782714844,2147
"120","X120",1220.04309082031,2980
"121","X121",300.668579101562,464
"122","X122",398.8828125,348
"123","X123",409.348815917969,294
"124","X124",323.526672363281,313
"125","X125",197.817764282227,198
"126","X126",183.665115356445,154
"127","X127",146.572357177734,223
"128","X128",100.775604248047,288
"129","X129",142.995819091797,256
"130","X130",150.80158996582,187
"131","X131",102.633018493652,239
"132","X132",216.046508789062,988
"133","X133",102.945404052734,404
"134","X134",139.136260986328,338
"135","X135",135.038543701172,349
"136","X136",167.265502929688,258
"137","X137",282.945648193359,972
"138","X138",723.599426269531,1308
"139","X139",240.510192871094,1544
"140","X140",1213.32592773438,5448
"141","X141",3144.7822265625,5221
"142","X142",1331.158203125,5726
"143","X143",362.994384765625,3591
"144","X144",144.563919067383,709
"145","X145",65.7839508056641,60
"146","X146",56.231372833252,109
"147","X147",72.6233978271484,150
"148","X148",190.262145996094,466
"149","X149",372.252410888672,803
"150","X150",575.897094726562,1366
"151","X151",290.590637207031,1302
"152","X152",842.934387207031,1041
"153","X153",897.552978515625,758
"154","X154",1158.22827148438,850
"155","X155",1230.544921875,634
"156","X156",1547.04833984375,1662
"157","X157",1959.80041503906,2650
"158","X158",603.638854980469,1717
"159","X159",136.428695678711,387
"160","X160",335.534637451172,357
"161","X161",438.279449462891,273
"162","X162",423.534973144531,223
"163","X163",434.985565185547,256
"164","X164",319.531799316406,314
"165","X165",274.427093505859,294
"166","X166",273.041168212891,307
"167","X167",260.633361816406,325
"168","X168",215.400192260742,248
"169","X169",161.544143676758,289
"170","X170",42.0246238708496,420
"171","X171",48.2068939208984,395
"172","X172",99.7094802856445,298
"173","X173",123.095741271973,200
"174","X174",144.305923461914,181
"175","X175",142.851119995117,83
"176","X176",175.090438842773,274
