"","cell_id","MDS1","MDS2"
"1","X1",-0.0586744407851868,-0.148726351318958
"2","X2",-0.057957608378205,-0.195442803130271
"3","X3",-0.0422077131458465,-0.174843220877124
"4","X4",-0.0422077131458465,-0.174843220877124
"5","X5",-0.0588184612444413,-0.196594401587211
"6","X6",-0.0419445631317574,-0.177571296775685
"7","X7",-0.0422077131458465,-0.174843220877124
"8","X8",-0.0436140492153086,-0.150182611581591
"9","X9",-0.0599839461060888,-0.149753240134021
"10","X10",-0.0419445631317574,-0.177571296775685
"11","X11",-0.0422077131458465,-0.174843220877124
"12","X13",-0.0365435074233718,-0.125225627239998
"13","X14",-0.045062560866803,-0.191244898899031
"14","X15",-0.0465079544770768,-0.188319611335537
"15","X16",-0.112499114829611,-0.181396007407649
"16","X19",-0.0608746312660478,-0.196320790409521
"17","X20",-0.0553062965906929,-0.220528846164685
"18","X21",-0.0974979699604628,-0.160834602839365
"19","X22",-0.117559121018813,-0.190508632785898
"20","X23",-0.117559121018813,-0.190508632785898
"21","X26",-0.058258030770439,-0.205149836232136
"22","X27",-0.053322137431142,-0.217309466639943
"23","X28",-0.127100358110701,-0.189064298976631
"24","X29",-0.113891144195821,-0.200308542062269
"25","X30",-0.113891144195821,-0.200308542062269
"26","X31",-0.119362397132676,-0.174464125986407
"27","X33",-0.058258030770439,-0.205149836232136
"28","X34",-0.0526642880501285,-0.223555470312482
"29","X35",-0.109011931875012,-0.206268776450144
"30","X36",-0.113891144195821,-0.200308542062269
"31","X37",-0.118593968198808,-0.18552519181316
"32","X38",-0.115533741229883,-0.182738256698369
"33","X39",-0.119764933799375,-0.171877792319898
"34","X40",-0.0484452267224137,-0.158802504323291
"35","X46",-0.0496942060449083,-0.183076948965178
"36","X47",-0.120473702660723,-0.193866582859669
"37","X48",-0.119815369364246,-0.190451981311577
"38","X49",-0.118593968198808,-0.18552519181316
"39","X50",-0.115533741229883,-0.182738256698369
"40","X51",-0.0757343582303401,-0.225033416065895
"41","X52",-0.084109021226333,-0.21701960524224
"42","X58",-0.0461516289054459,-0.170473070368949
"43","X59",-0.119775045091253,-0.182924083631731
"44","X60",-0.118593968198808,-0.18552519181316
"45","X61",-0.118593968198808,-0.18552519181316
"46","X62",-0.115533741229883,-0.182738256698369
"47","X63",-0.0824296991718193,-0.224541043441718
"48","X64",-0.0834067307848153,-0.23660198269866
"49","X65",-0.0631018634793103,-0.201094120966043
"50","X66",-0.106603526663229,-0.255453473770645
"51","X67",0.262793875606067,-0.0133227426522113
"52","X76",-0.0642315701614731,-0.175454257144772
"53","X77",-0.119898888785092,-0.173964970259663
"54","X78",-0.119784666781709,-0.177262479655156
"55","X79",-0.138140331330201,-0.207176543802665
"56","X80",-0.140264964237144,-0.212323654281547
"57","X81",-0.191305435889476,-0.167328743851129
"58","X82",-0.134451265851466,-0.178534932754567
"59","X83",-0.187187205091728,-0.167674477576912
"60","X84",-0.201669562783559,-0.187909227435392
"61","X85",-0.187915933242269,-0.174738261493554
"62","X86",0.262793875606067,-0.0133227426522113
"63","X87",0.262740990828366,-0.0113468536708081
"64","X88",0.262740990828366,-0.0113468536708081
"65","X89",0.264635299015239,-0.0176400892535289
"66","X90",0.264635299015239,-0.0176400892535289
"67","X105",-0.0640421697291083,-0.17019149298919
"68","X106",-0.119898888785092,-0.173964970259663
"69","X107",-0.142037175262717,-0.205486978708134
"70","X108",-0.138316033178516,-0.214451625258565
"71","X109",-0.204473553559012,-0.18340154663465
"72","X110",-0.190471260548448,-0.168399586988576
"73","X111",-0.189675601381636,-0.168283672877105
"74","X112",-0.188801518437983,-0.172403462885432
"75","X113",-0.188801518437983,-0.172403462885432
"76","X114",-0.186259545021229,-0.172499800894723
"77","X115",0.262267957553788,-0.0138179773082153
"78","X116",0.260815516020819,-0.0100706802795204
"79","X117",0.262107632312202,-0.0128393338282006
"80","X118",0.262898979330464,-0.0182278674323465
"81","X119",0.263828978449336,-0.0169099139069275
"82","X120",0.260895204206073,-0.0229167378970189
"83","X140",-0.0654134416000876,-0.179214952083413
"84","X141",-0.04511519217648,-0.16903311941559
"85","X142",-0.139759215198964,-0.179030051224273
"86","X143",-0.148451145832319,-0.202752488277569
"87","X144",-0.199338043954048,-0.184053970523505
"88","X145",-0.185538817533735,-0.168954524740846
"89","X146",-0.18961152305136,-0.183360967586114
"90","X147",-0.185505772055004,-0.174069487180843
"91","X148",-0.185166460978521,-0.174881696527978
"92","X149",-0.184414401639297,-0.174783073571543
"93","X150",-0.184414401639297,-0.174783073571543
"94","X151",0.262336243671107,-0.0165525795819518
"95","X152",0.259752396099411,-0.0127392457566009
"96","X153",0.262085283690069,-0.0120281641885841
"97","X154",0.262219605230111,-0.0150810396036252
"98","X155",0.263284981652041,-0.0199156009944737
"99","X156",0.263284981652041,-0.0199156009944737
"100","X157",0.264874964852517,-0.0197102268963758
"101","X158",0.260630015881078,-0.0421326044338436
"102","X179",-0.0507761946791459,-0.156586240761349
"103","X180",-0.0867223165731886,-0.24286661847837
"104","X181",-0.206749273879521,-0.184916383928263
"105","X182",-0.191219697013145,-0.18393146722068
"106","X183",-0.185538817533735,-0.168954524740846
"107","X184",-0.190155283498863,-0.182943360118405
"108","X185",-0.183495460400785,-0.178883754809503
"109","X186",-0.181926223979294,-0.182439036430862
"110","X187",-0.181765201701395,-0.17984842495791
"111","X188",-0.181565560412023,-0.181394984763578
"112","X189",-0.181565560412023,-0.181394984763578
"113","X190",0.262248335605258,-0.0153801343747531
"114","X191",0.257184615429031,-0.0150396833395634
"115","X192",0.262085283690069,-0.0120281641885841
"116","X193",0.260326834620753,-0.0105720574583352
"117","X194",0.263284981652041,-0.0199156009944737
"118","X195",0.264629929018365,-0.0214668245701211
"119","X196",0.2647084997952,-0.0232845015715857
"120","X197",0.263029431244122,-0.0423205360679406
"121","X218",-0.0128254322795429,-0.0900630479484226
"122","X219",-0.0651670867083305,-0.199344934223277
"123","X220",-0.201752370940827,-0.203550493394393
"124","X221",-0.196735199105779,-0.198690196041577
"125","X222",-0.185538817533736,-0.168954524740846
"126","X223",-0.189799562802485,-0.184284955182941
"127","X224",-0.184427171824659,-0.178828102952049
"128","X225",-0.180839852219672,-0.18224178571401
"129","X226",-0.181765201701395,-0.17984842495791
"130","X227",-0.181765201701395,-0.17984842495791
"131","X228",-0.179926636788732,-0.180750083199385
"132","X229",0.258470663393298,-0.0332731482689125
"133","X230",0.257907589604012,-0.0123797067603373
"134","X231",0.260759005867929,-0.0169050079919999
"135","X232",0.259414590776232,-0.0165517965773332
"136","X233",0.257587831563425,-0.0130931957388326
"137","X234",0.263758093306025,-0.030233126037883
"138","X235",0.263691523675703,-0.0327323545263493
"139","X236",0.26209437999747,-0.0378297088650973
"140","X237",0.261324411831989,-0.0445480954597146
"141","X238",0.275796750132207,-0.0647028567452048
"142","X258",-0.0128254322795429,-0.0900630479484226
"143","X259",-0.0471286969947247,-0.168760740238825
"144","X260",-0.20063989675595,-0.200901109136125
"145","X261",-0.186677661426431,-0.175146579750942
"146","X262",-0.186721542721376,-0.171676962378342
"147","X263",-0.184279957286764,-0.177988611060856
"148","X264",-0.184020028277883,-0.178912076166932
"149","X265",-0.180839852219672,-0.18224178571401
"150","X266",-0.181765201701395,-0.17984842495791
"151","X267",-0.18036005653143,-0.177561820635647
"152","X268",-0.18036005653143,-0.177561820635647
"153","X269",-0.194387125361449,-0.19578995570939
"154","X270",0.241836988862944,-0.0719498563777768
"155","X271",0.240617261453228,-0.0767245776210001
"156","X272",0.272170227519792,-0.0260712625966436
"157","X273",0.247580208675464,-0.0686336922186054
"158","X274",0.235614373295878,-0.0917008366258987
"159","X275",0.264005600607106,-0.0252420568021224
"160","X276",0.263691523675703,-0.0327323545263493
"161","X277",0.26266687674936,-0.036755585489683
"162","X278",0.261894193451353,-0.0409183858222466
"163","X279",0.267985198158053,-0.0533791246505542
"164","X280",0.267182467950497,-0.0820581537533395
"165","X281",0.36119464125701,-0.393108613037946
"166","X282",0.270741605326699,-0.600449093963201
"167","X302",-0.0484018828747643,-0.152730950894326
"168","X303",-0.0780256725668829,-0.208728169822819
"169","X304",-0.197566073049969,-0.1791500254891
"170","X305",-0.187704236862957,-0.176391860059097
"171","X306",-0.186198882088244,-0.173615099272423
"172","X307",-0.184541556844781,-0.178233443769787
"173","X308",-0.178652617234658,-0.190497163816356
"174","X309",-0.178164845797232,-0.19108092237423
"175","X310",-0.175555084611671,-0.194502307590967
"176","X311",-0.175555084611671,-0.194502307590967
"177","X312",-0.175555084611671,-0.194502307590967
"178","X313",-0.186144494514094,-0.214258869054693
"179","X314",-0.186144494514094,-0.214258869054693
"180","X315",-0.169422600456544,-0.221366078818859
"181","X316",0.236457160020852,-0.0952308234026247
"182","X317",0.273029613021997,-0.0258854506656551
"183","X318",0.250936572488011,-0.0680184187151542
"184","X319",0.25093657248801,-0.0680184187151551
"185","X320",0.253592831361569,-0.0566069446920184
"186","X321",0.271289106412583,-0.0189053830289214
"187","X322",0.264005600607106,-0.0252420568021224
"188","X323",0.261584474947166,-0.0408289559488474
"189","X324",0.271249828305017,-0.0483730345188453
"190","X325",0.268186043414259,-0.048849123636771
"191","X326",0.272437796188543,-0.0646633661875948
"192","X327",0.389751285456575,-0.352074186694103
"193","X328",0.270383707691726,-0.600584576042367
"194","X347",-0.0500034936266097,-0.145390381164767
"195","X348",-0.0803376913223265,-0.209666021019609
"196","X349",-0.188469772322915,-0.163085007163065
"197","X350",-0.185887328556549,-0.174224967773364
"198","X351",-0.184543725253039,-0.171180836472135
