"","cell_id","MDS1","MDS2"
"1","X1",-0.122492193518662,-0.0341131212471519
"2","X2",-0.122492193518662,-0.0341131212471519
"3","X3",-0.122492193518662,-0.0341131212471519
"4","X4",-0.0865335774350505,-0.0636183345816718
"5","X5",-0.122492193518662,-0.0341131212471519
"6","X6",-0.0551534848912979,-0.012865232509904
"7","X7",-0.0588490325571552,-0.0105042451483901
"8","X8",-0.0588490325571552,-0.0105042451483901
"9","X9",-0.122492193518662,-0.0341131212471519
"10","X10",-0.122492193518662,-0.0341131212471519
"11","X11",-0.0588490325571551,-0.0105042451483901
"12","X12",-0.122596486734535,-0.235791249216064
"13","X13",-0.122492193518662,-0.0341131212471519
"14","X14",-0.122492193518662,-0.0341131212471519
"15","X15",-0.0865335774350505,-0.0636183345816718
"16","X16",-0.0751500822575208,-0.0855448603140924
"17","X17",-0.122596486734535,-0.235791249216064
"18","X18",-0.122596486734535,-0.235791249216064
"19","X19",-0.118957936647417,-0.037114229850839
"20","X20",-0.126252291930756,-0.114043091388961
"21","X21",-0.0785368245512214,-0.0821906508169173
"22","X22",-0.0817010837415638,-0.122509278432683
"23","X23",-0.140250012284379,-0.0591658204812877
"24","X24",-0.038065517767309,-0.141359882975739
"25","X25",-0.122596486734535,-0.235791249216064
"26","X26",-0.122186613835759,-0.0918142323158492
"27","X27",-0.126584048576049,-0.113519444017976
"28","X28",-0.0791699477710039,-0.0829006551874996
"29","X29",-0.106713977543597,-0.0882597529953953
"30","X30",-0.106713977543597,-0.0882597529953953
"31","X31",-0.118123474759736,-0.12017102608778
"32","X32",-0.122596486734535,-0.235791249216064
"33","X33",-0.122186613835759,-0.0918142323158492
"34","X34",-0.138465774403021,-0.109904397388434
"35","X35",-0.0791699477710039,-0.0829006551874995
"36","X36",-0.106713977543597,-0.0882597529953953
"37","X37",-0.144613041552849,-0.100811176370408
"38","X38",-0.241730278484096,-0.11370732376789
"39","X39",-0.217328418734236,-0.107303519453154
"40","X40",-0.223948788238438,-0.115944578367338
"41","X41",0.0333673556474341,-0.268831592597586
"42","X42",0.0840414973708142,-0.192652580493212
"43","X43",0.0832552470777711,-0.200058784329081
"44","X44",-0.122596486734535,-0.235791249216064
"45","X45",-0.122596486734535,-0.235791249216064
"46","X46",-0.146261157025842,-0.103369995647299
"47","X47",-0.106713977543597,-0.0882597529953953
"48","X48",-0.114255963274204,-0.0919072130890934
"49","X49",-0.148534292081205,-0.114338010735072
"50","X50",-0.233596914342186,-0.158988849945168
"51","X51",-0.224724200764005,-0.149272483294613
"52","X52",-0.303965726733357,-0.131512866141886
"53","X53",0.078609036289463,-0.314288269644925
"54","X54",0.0241532414533351,-0.289551283860161
"55","X55",0.0846215060907052,-0.209707412754488
"56","X56",0.0838340635884936,-0.209812756522728
"57","X57",0.0727673261286074,-0.230004759013707
"58","X58",-0.221954502141625,-0.117627255820191
"59","X59",-0.19975797866237,-0.107232985047153
"60","X60",-0.205435712492323,-0.107783498013325
"61","X61",-0.277496217710746,-0.13153885833358
"62","X62",-0.291254856249188,-0.138049183387475
"63","X63",-0.276215149085089,-0.135776561144529
"64","X64",-0.335332360395277,-0.107482204227898
"65","X65",-0.335332360395277,-0.107482204227898
"66","X66",-0.304803629939239,-0.129187964338865
"67","X67",0.151468512612965,-0.077310784910312
"68","X68",-0.0447550266395456,-0.271615070038025
"69","X69",-0.0404991875202979,-0.242056114089775
"70","X70",0.0320296541758921,-0.277857304908828
"71","X71",-0.0429125908457705,-0.318294116924774
"72","X72",0.0266481316079639,-0.290749932083775
"73","X73",0.0304686665123133,-0.278632673361635
"74","X74",0.0280474441953833,-0.298838764880098
"75","X75",0.0730098641645139,-0.230412543209753
"76","X76",-0.221954502141625,-0.117627255820191
"77","X77",-0.19975797866237,-0.107232985047153
"78","X78",-0.266558038600764,-0.126952931740595
"79","X79",-0.307329828343523,-0.127411627396747
