,Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Mass.g,Mass.Source,ForStrat.Arboreal,ForStrat.Ground,ForStrat.Aerial,ForStrat.Source,Diet.Invertebrate,Diet.Vertebrate,Diet.Fruit,Diet.Nect,Diet.Source,PlantCat.Source,PlantCat.Notes
1,Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,390,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
2,Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,1075,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
3,Aethalops_aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,11.6,PHYLACINE,1,0,0,EltonTraits,0,0,50,50,PHYLACINE,EltonTraits,
4,Aethalops_alecto,Chiroptera,Pteropodidae,Aethalops,alecto,15,PHYLACINE,1,0,0,EltonTraits,0,0,70,30,PHYLACINE,EltonTraits,
5,Alionycteris_paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,16.2,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
6,Aproteles_bulmerae,Chiroptera,Pteropodidae,Aproteles,bulmerae,600,PHYLACINE,1,0,0,EltonTraits,0,0,80,20,PHYLACINE,EltonTraits,
7,Balionycteris_maculata,Chiroptera,Pteropodidae,Balionycteris,maculata,13.4,PHYLACINE,1,0,0,EltonTraits,0,0,80,20,PHYLACINE,EltonTraits,
8,Casinycteris_argynnis,Chiroptera,Pteropodidae,Casinycteris,argynnis,29.9,PHYLACINE,1,0,0,EltonTraits,0,0,80,20,PHYLACINE,EltonTraits,
9,Chironax_melanocephalus,Chiroptera,Pteropodidae,Chironax,melanocephalus,16.7,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
10,Cynopterus_sphinx,Chiroptera,Pteropodidae,Cynopterus,sphinx,43.7,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
11,Cynopterus_titthaecheilus,Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,56.3,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
12,Cynopterus_luzoniensis,Chiroptera,Pteropodidae,Cynopterus,luzoniensis,27.9,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
13,Cynopterus_brachyotis,Chiroptera,Pteropodidae,Cynopterus,brachyotis,31.2,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
14,Cynopterus_horsfieldii,Chiroptera,Pteropodidae,Cynopterus,horsfieldii,55.1,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
15,Cynopterus_minutus,Chiroptera,Pteropodidae,Cynopterus,minutus,25.8,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
16,Dobsonia_anderseni,Chiroptera,Pteropodidae,Dobsonia,anderseni,204.1,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
17,Dobsonia_minor,Chiroptera,Pteropodidae,Dobsonia,minor,78.2,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
18,Dobsonia_exoleta,Chiroptera,Pteropodidae,Dobsonia,exoleta,249,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
19,Dobsonia_crenulata,Chiroptera,Pteropodidae,Dobsonia,crenulata,272,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
20,Dyacopterus_brooksi,Chiroptera,Pteropodidae,Dyacopterus,brooksi,88.5,PHYLACINE,1,0,0,EltonTraits,0,1,79,20,PHYLACINE,EltonTraits,
21,Dyacopterus_spadiceus,Chiroptera,Pteropodidae,Dyacopterus,spadiceus,84.2,PHYLACINE,1,0,0,EltonTraits,0,1,79,20,PHYLACINE,EltonTraits,
22,Eidolon_dupreanum,Chiroptera,Pteropodidae,Eidolon,dupreanum,283.8,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
23,Eidolon_helvum,Chiroptera,Pteropodidae,Eidolon,helvum,253.3,PHYLACINE,1,0,0,EltonTraits,0,0,100,0,PHYLACINE,EltonTraits,
24,Eonycteris_spelaea,Chiroptera,Pteropodidae,Eonycteris,spelaea,58.1,PHYLACINE,1,0,0,EltonTraits,0,0,0,100,PHYLACINE,EltonTraits,
