,Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Mass.g,Mass.Source,ForStrat.Arboreal,ForStrat.Ground,ForStrat.Source,Diet.Invertebrate,Diet.Vertebrate,Diet.Plant,Diet.Source
1,Atelerix_albiventris,Eulipotyphla,Erinaceidae,Atelerix,albiventris,600,PHYLACINE,0,1,EltonTraits,20,50,30,PHYLACINE
2,Atelerix_algirus,Eulipotyphla,Erinaceidae,Atelerix,algirus,1250,CarniTraits,0,1,CarniTraits,20,50,30,CarniTraits
3,Atelerix_frontalis,Eulipotyphla,Erinaceidae,Atelerix,frontalis,309.5,PHYLACINE,0,1,EltonTraits,20,50,30,PHYLACINE
4,Atelerix_sclateri,Eulipotyphla,Erinaceidae,Atelerix,sclateri,436.5,PHYLACINE,0,1,EltonTraits,20,50,30,PHYLACINE
5,Erinaceus_amurensis,Eulipotyphla,Erinaceidae,Erinaceus,amurensis,800,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
6,Erinaceus_roumanicus,Eulipotyphla,Erinaceidae,Erinaceus,roumanicus,745,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
7,Erinaceus_concolor,Eulipotyphla,Erinaceidae,Erinaceus,concolor,719,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
8,Erinaceus_europaeus,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,771,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
9,Hemiechinus_auritus,Eulipotyphla,Erinaceidae,Hemiechinus,auritus,342,PHYLACINE,0,1,EltonTraits,30,50,20,PHYLACINE
10,Hemiechinus_collaris,Eulipotyphla,Erinaceidae,Hemiechinus,collaris,141,PHYLACINE,0,1,EltonTraits,30,50,20,PHYLACINE
11,Mesechinus_dauuricus,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,342,PHYLACINE,0,1,EltonTraits,0,70,30,PHYLACINE
12,Mesechinus_hughi,Eulipotyphla,Erinaceidae,Mesechinus,hughi,199.3,PHYLACINE,0,1,EltonTraits,0,70,30,PHYLACINE
13,Paraechinus_aethiopicus,Eulipotyphla,Erinaceidae,Paraechinus,aethiopicus,188,PHYLACINE,0,1,EltonTraits,30,50,20,PHYLACINE
