,Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Mass.g,Mass.Source,ForStrat.Arboreal,ForStrat.Ground,ForStrat.Source,ForStrat.Notes,Diet.Invertebrate,Diet.Vertebrate,Diet.Fruit,Diet.Seed,Diet.Herb,Diet.Source,PlantCat.Source,PlantCat.Notes
1,Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,1004,PHYLACINE,0,1,EltonTraits,,0,0,0,0,100,PHYLACINE,EltonTraits,
2,Ratufa_affinis,Rodentia,Sciuridae,Ratufa,affinis,1156.3,PHYLACINE,1,0,EltonTraits,,10,10,30,30,20,PHYLACINE,EltonTraits,
3,Ratufa_bicolor,Rodentia,Sciuridae,Ratufa,bicolor,2050,PHYLACINE,1,0,EltonTraits,,10,10,30,30,20,PHYLACINE,EltonTraits,
4,Ratufa_indica,Rodentia,Sciuridae,Ratufa,indica,1060,PHYLACINE,1,0,EltonTraits,,10,10,30,30,20,PHYLACINE,EltonTraits,
5,Ratufa_macroura,Rodentia,Sciuridae,Ratufa,macroura,1327.1,PHYLACINE,1,0,EltonTraits,,10,10,30,30,20,PHYLACINE,EltonTraits,
6,Sciurillus_pusillus,Rodentia,Sciuridae,Sciurillus,pusillus,39,PHYLACINE,1,0,EltonTraits,,0,0,50,20,30,PHYLACINE,EltonTraits,
7,Microsciurus_alfari,Rodentia,Sciuridae,Microsciurus,alfari,87.5,PHYLACINE,1,0,EltonTraits,,0,0,50,50,0,PHYLACINE,EltonTraits,
8,Microsciurus_santanderensis,Rodentia,Sciuridae,Microsciurus,santanderensis,99.8,PHYLACINE,1,0,EltonTraits,,0,0,50,50,0,PHYLACINE,EltonTraits,
9,Microsciurus_mimulus,Rodentia,Sciuridae,Microsciurus,mimulus,120,PHYLACINE,1,0,EltonTraits,,0,0,50,50,0,PHYLACINE,EltonTraits,
10,Microsciurus_flaviventer,Rodentia,Sciuridae,Microsciurus,flaviventer,92,PHYLACINE,1,0,EltonTraits,,0,0,50,50,0,PHYLACINE,EltonTraits,
11,Rheithrosciurus_macrotis,Rodentia,Sciuridae,Rheithrosciurus,macrotis,1225,PHYLACINE,1,0,EltonTraits,,0,0,100,0,0,PHYLACINE,EltonTraits,
12,Sciurus_carolinensis,Rodentia,Sciuridae,Sciurus,carolinensis,506.5,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
13,Sciurus_nayaritensis,Rodentia,Sciuridae,Sciurus,nayaritensis,697,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
14,Sciurus_niger,Rodentia,Sciuridae,Sciurus,niger,761.9,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
15,Sciurus_oculatus,Rodentia,Sciuridae,Sciurus,oculatus,650,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
16,Sciurus_variegatoides,Rodentia,Sciuridae,Sciurus,variegatoides,485,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
17,Sciurus_vulgaris,Rodentia,Sciuridae,Sciurus,vulgaris,333,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
18,Sciurus_colliaei,Rodentia,Sciuridae,Sciurus,colliaei,498,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
19,Sciurus_aureogaster,Rodentia,Sciuridae,Sciurus,aureogaster,595,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
20,Sciurus_arizonensis,Rodentia,Sciuridae,Sciurus,arizonensis,647,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
21,Sciurus_yucatanensis,Rodentia,Sciuridae,Sciurus,yucatanensis,225,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
22,Sciurus_alleni,Rodentia,Sciuridae,Sciurus,alleni,434.5,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
23,Sciurus_lis,Rodentia,Sciuridae,Sciurus,lis,264.3,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
24,Sciurus_deppei,Rodentia,Sciuridae,Sciurus,deppei,190,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
25,Sciurus_aberti,Rodentia,Sciuridae,Sciurus,aberti,624,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
26,Sciurus_stramineus,Rodentia,Sciuridae,Sciurus,stramineus,433.3,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
27,Sciurus_richmondi,Rodentia,Sciuridae,Sciurus,richmondi,205,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
28,Sciurus_pucheranii,Rodentia,Sciuridae,Sciurus,pucheranii,803,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
29,Sciurus_sanborni,Rodentia,Sciuridae,Sciurus,sanborni,136,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
30,Sciurus_gilvigularis,Rodentia,Sciuridae,Sciurus,gilvigularis,803,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
31,Sciurus_granatensis,Rodentia,Sciuridae,Sciurus,granatensis,250,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
32,Sciurus_ignitus,Rodentia,Sciuridae,Sciurus,ignitus,190,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
33,Sciurus_aestuans,Rodentia,Sciuridae,Sciurus,aestuans,185,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
34,Sciurus_anomalus,Rodentia,Sciuridae,Sciurus,anomalus,256,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
35,Sciurus_flammifer,Rodentia,Sciuridae,Sciurus,flammifer,4293,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
36,Sciurus_pyrrhinus,Rodentia,Sciuridae,Sciurus,pyrrhinus,482,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
37,Sciurus_griseus,Rodentia,Sciuridae,Sciurus,griseus,731,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
38,Sciurus_spadiceus,Rodentia,Sciuridae,Sciurus,spadiceus,403.3,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
39,Sciurus_igniventris,Rodentia,Sciuridae,Sciurus,igniventris,700,PHYLACINE,1,0,EltonTraits,,0,0,20,50,30,PHYLACINE,EltonTraits,
40,Syntheosciurus_brochus,Rodentia,Sciuridae,Syntheosciurus,brochus,132.8,PHYLACINE,1,0,EltonTraits,,0,0,30,0,70,PHYLACINE,EltonTraits,
41,Tamiasciurus_hudsonicus,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,201.2,PHYLACINE,1,0,EltonTraits,,0,30,30,20,20,PHYLACINE,EltonTraits,
42,Tamiasciurus_mearnsi,Rodentia,Sciuridae,Tamiasciurus,mearnsi,252.6,PHYLACINE,1,0,EltonTraits,,0,30,30,20,20,PHYLACINE,EltonTraits,
43,Tamiasciurus_douglasii,Rodentia,Sciuridae,Tamiasciurus,douglasii,225,PHYLACINE,1,0,EltonTraits,,0,30,30,20,20,PHYLACINE,EltonTraits,
44,Aeretes_melanopterus,Rodentia,Sciuridae,Aeretes,melanopterus,732.4,PHYLACINE,1,0,EltonTraits,,0,0,22,56,22,PHYLACINE,EltonTraits,
45,Aeromys_thomasi,Rodentia,Sciuridae,Aeromys,thomasi,1435,PHYLACINE,1,0,EltonTraits,,10,0,30,30,30,PHYLACINE,EltonTraits,
46,Aeromys_tephromelas,Rodentia,Sciuridae,Aeromys,tephromelas,1075,PHYLACINE,1,0,EltonTraits,,10,0,30,30,30,PHYLACINE,EltonTraits,
47,Belomys_pearsonii,Rodentia,Sciuridae,Belomys,pearsonii,217,PHYLACINE,1,0,EltonTraits,,0,0,22,56,22,PHYLACINE,EltonTraits,
